shipment_id,order_id,customer_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status,currency_code
SHP002047,ORD102047,CUST2365,2026-07-03,Bengaluru_WH03,Ahmedabad,Delhi,DHL,Mini Truck,7.12,1901,3587.24,Delivered,INR
SHP002048,ORD102048,CUST8664,2026-07-03,Delhi_WH01,Chennai,Kolkata,Ecom Express,Truck,47.92,452,1468.64,In Transit,INR
SHP002049,ORD102049,CUST2184,2026-07-03,Chennai_WH05,Bengaluru,Chennai,FedEx,Truck,48.15,1318,3030.2,Delivered,INR
SHP002050,ORD102050,CUST6387,2026-07-03,Mumbai_WH02,Hyderabad,Chennai,Delhivery,Van,37.93,1952,4048.76,Delivered,INR
SHP002051,ORD102051,CUST1363,2026-07-03,Hyderabad_WH04,Bengaluru,Pune,Ecom Express,Mini Truck,18.03,1663,3289.76,Delivered,INR
SHP002052,ORD102052,CUST2291,2026-07-03,Hyderabad_WH04,Kolkata,Pune,DHL,Bike,9.93,62,310.76,Cancelled,INR
SHP002053,ORD102053,CUST5167,2026-07-03,Bengaluru_WH03,Mumbai,Pune,FedEx,Bike,12.11,112,426.92,Delivered,INR
SHP002054,ORD102054,CUST4663,2026-07-03,Bengaluru_WH03,Bengaluru,Pune,DHL,Truck,31.68,315,1027.16,Delivered,INR
SHP002055,ORD102055,CUST2700,2026-07-03,Delhi_WH01,Kolkata,Jaipur,Blue Dart,Mini Truck,39.84,505,1467.08,Delivered,INR
SHP002056,ORD102056,CUST2732,2026-07-03,Delhi_WH01,Bengaluru,Pune,Delhivery,Truck,19.09,1134,2350.28,Delivered,INR
SHP002057,ORD102057,CUST1434,2026-07-03,Delhi_WH01,Hyderabad,Jaipur,Blue Dart,Van,42.4,1868,3951.2,Delivered,INR
SHP002058,ORD102058,CUST5134,2026-07-03,Delhi_WH01,Kolkata,Chennai,Delhivery,Bike,33.67,2235,4507.04,Delivered,INR
SHP002059,ORD102059,CUST7609,2026-07-03,Hyderabad_WH04,Bengaluru,Hyderabad,FedEx,Mini Truck,2.0,1743,3241.4,Delivered,INR
SHP002060,ORD102060,CUST4040,2026-07-03,Bengaluru_WH03,Delhi,Mumbai,Blue Dart,Bike,21.29,531,1291.28,In Transit,INR
SHP002061,ORD102061,CUST3017,2026-07-03,Mumbai_WH02,Mumbai,Chennai,Ecom Express,Truck,47.7,2325,4837.4,In Transit,INR
SHP002062,ORD102062,CUST7778,2026-07-03,Mumbai_WH02,Delhi,Jaipur,Ecom Express,Bike,37.22,2427,4895.24,Delivered,INR
SHP002063,ORD102063,CUST6503,2026-07-03,Bengaluru_WH03,Jaipur,Mumbai,Blue Dart,Bike,5.53,1789,3366.56,Delivered,INR
SHP002064,ORD102064,CUST9697,2026-07-03,Delhi_WH01,Chennai,Delhi,Blue Dart,Mini Truck,10.25,344,822.2,Delivered,INR
SHP002065,ORD102065,CUST7827,2026-07-03,Mumbai_WH02,Chennai,Jaipur,Blue Dart,Bike,30.04,1934,3921.68,Delivered,INR
SHP002066,ORD102066,CUST2835,2026-07-03,Delhi_WH01,Chennai,Jaipur,Delhivery,Mini Truck,33.99,844,2007.08,In Transit,INR
SHP002067,ORD102067,CUST1416,2026-07-03,Hyderabad_WH04,Hyderabad,Lucknow,Blue Dart,Mini Truck,5.53,1096,2119.16,Delivered,INR
SHP002068,ORD102068,CUST6986,2026-07-03,Delhi_WH01,Ahmedabad,Jaipur,Delhivery,Mini Truck,45.53,999,2424.56,Delayed,INR
SHP002069,ORD102069,CUST5942,2026-07-03,Delhi_WH01,Hyderabad,Jaipur,Blue Dart,Van,29.26,816,1899.92,Delivered,INR
SHP002070,ORD102070,CUST4103,2026-07-03,Mumbai_WH02,Kolkata,Jaipur,Delhivery,Bike,5.77,2469,4593.44,In Transit,INR
SHP002071,ORD102071,CUST6613,2026-07-03,Chennai_WH05,Bengaluru,Hyderabad,Blue Dart,Bike,25.57,1677,3405.44,Delivered,INR
SHP002072,ORD102072,CUST8158,2026-07-03,Mumbai_WH02,Pune,Ahmedabad,Blue Dart,Truck,10.09,1878,3581.48,Delivered,INR
SHP002073,ORD102073,CUST1312,2026-07-03,Bengaluru_WH03,Kolkata,Delhi,Ecom Express,Mini Truck,35.36,1990,4086.32,Delivered,INR
SHP002074,ORD102074,CUST2603,2026-07-03,Mumbai_WH02,Kolkata,Ahmedabad,Ecom Express,Truck,26.32,1956,3916.64,In Transit,INR
SHP002075,ORD102075,CUST1315,2026-07-03,Mumbai_WH02,Kolkata,Jaipur,DHL,Van,41.02,659,1758.44,Delivered,INR
SHP002076,ORD102076,CUST7537,2026-07-03,Bengaluru_WH03,Bengaluru,Chennai,Ecom Express,Van,9.34,1043,2069.48,In Transit,INR
SHP002077,ORD102077,CUST3919,2026-07-03,Hyderabad_WH04,Pune,Mumbai,Blue Dart,Van,41.27,1311,2935.04,Delivered,INR
SHP002078,ORD102078,CUST3926,2026-07-03,Mumbai_WH02,Jaipur,Pune,DHL,Van,34.49,96,666.68,In Transit,INR
SHP002079,ORD102079,CUST5945,2026-07-03,Delhi_WH01,Mumbai,Chennai,FedEx,Bike,27.26,1101,2388.92,Delivered,INR
SHP002080,ORD102080,CUST2830,2026-07-03,Delhi_WH01,Pune,Delhi,Blue Dart,Mini Truck,45.75,1687,3665.6,In Transit,INR
SHP002081,ORD102081,CUST1397,2026-07-03,Bengaluru_WH03,Hyderabad,Pune,Delhivery,Mini Truck,40.09,537,1527.68,Delivered,INR
SHP002082,ORD102082,CUST1469,2026-07-03,Delhi_WH01,Bengaluru,Delhi,Ecom Express,Truck,27.51,2322,4589.72,Delivered,INR
SHP002083,ORD102083,CUST5394,2026-07-03,Chennai_WH05,Pune,Kolkata,FedEx,Truck,38.01,2204,4503.32,In Transit,INR
SHP002084,ORD102084,CUST2698,2026-07-03,Bengaluru_WH03,Mumbai,Lucknow,FedEx,Truck,7.09,1879,3547.28,Delivered,INR
SHP002085,ORD102085,CUST1759,2026-07-03,Hyderabad_WH04,Lucknow,Jaipur,Blue Dart,Van,13.06,1971,3784.52,In Transit,INR
SHP002086,ORD102086,CUST1174,2026-07-03,Delhi_WH01,Chennai,Bengaluru,DHL,Truck,49.18,1090,2632.16,Delivered,INR
SHP002087,ORD102087,CUST4743,2026-07-03,Mumbai_WH02,Delhi,Jaipur,Ecom Express,Van,4.52,1385,2627.24,Delivered,INR
SHP002088,ORD102088,CUST5286,2026-07-03,Chennai_WH05,Bengaluru,Chennai,DHL,Truck,30.07,2171,4348.64,Delayed,INR
SHP002089,ORD102089,CUST6573,2026-07-03,Chennai_WH05,Lucknow,Mumbai,FedEx,Truck,40.3,1475,3218.6,Returned,INR
SHP002090,ORD102090,CUST2791,2026-07-03,Chennai_WH05,Delhi,Lucknow,DHL,Bike,17.18,2470,4732.16,In Transit,INR
SHP002091,ORD102091,CUST7602,2026-07-03,Delhi_WH01,Bengaluru,Mumbai,Ecom Express,Van,11.96,1546,3006.32,In Transit,INR
SHP002092,ORD102092,CUST6102,2026-07-03,Mumbai_WH02,Ahmedabad,Kolkata,FedEx,Truck,18.82,926,1972.64,Cancelled,INR
SHP002093,ORD102093,CUST5726,2026-07-03,Hyderabad_WH04,Hyderabad,Lucknow,FedEx,Van,40.86,2271,4658.12,Cancelled,INR
SHP002094,ORD102094,CUST5665,2026-07-03,Hyderabad_WH04,Bengaluru,Delhi,Blue Dart,Mini Truck,8.41,1715,3267.92,Delivered,INR
SHP002095,ORD102095,CUST6538,2026-07-03,Mumbai_WH02,Lucknow,Delhi,FedEx,Van,16.93,2115,4090.16,In Transit,INR
SHP002096,ORD102096,CUST6008,2026-07-03,Bengaluru_WH03,Ahmedabad,Kolkata,Delhivery,Mini Truck,15.51,203,631.52,Delivered,INR
SHP002097,ORD102097,CUST3293,2026-07-03,Mumbai_WH02,Mumbai,Jaipur,FedEx,Truck,0.6,1930,3561.2,In Transit,INR
SHP002098,ORD102098,CUST9527,2026-07-03,Chennai_WH05,Bengaluru,Mumbai,FedEx,Mini Truck,47.64,1557,3454.28,In Transit,INR
SHP002099,ORD102099,CUST8426,2026-07-03,Delhi_WH01,Pune,Bengaluru,DHL,Truck,26.58,1413,2942.36,Delivered,INR
SHP002100,ORD102100,CUST6786,2026-07-03,Mumbai_WH02,Jaipur,Bengaluru,Blue Dart,Mini Truck,37.45,1850,3859.4,Delivered,INR
SHP002101,ORD102101,CUST9665,2026-07-03,Bengaluru_WH03,Pune,Ahmedabad,Ecom Express,Truck,1.89,1776,3299.48,Delivered,INR
SHP002102,ORD102102,CUST4153,2026-07-03,Mumbai_WH02,Jaipur,Lucknow,FedEx,Truck,17.73,1454,2909.96,Delivered,INR
SHP002103,ORD102103,CUST1805,2026-07-03,Mumbai_WH02,Hyderabad,Chennai,Blue Dart,Truck,28.8,368,1088.0,Delivered,INR
SHP002104,ORD102104,CUST9777,2026-07-03,Bengaluru_WH03,Bengaluru,Kolkata,FedEx,Mini Truck,44.75,2038,4285.4,Delivered,INR
SHP002105,ORD102105,CUST9927,2026-07-03,Bengaluru_WH03,Ahmedabad,Bengaluru,Delhivery,Van,30.79,1174,2562.68,In Transit,INR
SHP002106,ORD102106,CUST8550,2026-07-03,Hyderabad_WH04,Bengaluru,Ahmedabad,FedEx,Bike,26.98,2055,4102.76,Delivered,INR
SHP002107,ORD102107,CUST3899,2026-07-03,Bengaluru_WH03,Lucknow,Bengaluru,Blue Dart,Mini Truck,46.96,165,940.52,Delivered,INR
SHP002108,ORD102108,CUST5768,2026-07-03,Bengaluru_WH03,Chennai,Pune,Ecom Express,Bike,8.79,101,367.28,Delivered,INR
SHP002109,ORD102109,CUST2278,2026-07-03,Hyderabad_WH04,Kolkata,Mumbai,FedEx,Van,12.47,130,463.64,Delivered,INR
SHP002110,ORD102110,CUST3554,2026-07-03,Bengaluru_WH03,Jaipur,Kolkata,DHL,Truck,38.91,637,1693.52,Delivered,INR
SHP002111,ORD102111,CUST8404,2026-07-03,Bengaluru_WH03,Hyderabad,Lucknow,Blue Dart,Truck,16.49,1949,3786.08,Delivered,INR
SHP002112,ORD102112,CUST2192,2026-07-03,Bengaluru_WH03,Delhi,Mumbai,Delhivery,Bike,48.03,602,1739.96,Delivered,INR
SHP002113,ORD102113,CUST6470,2026-07-03,Hyderabad_WH04,Chennai,Mumbai,Blue Dart,Van,21.72,160,628.64,Returned,INR
SHP002114,ORD102114,CUST4378,2026-07-03,Delhi_WH01,Mumbai,Jaipur,DHL,Truck,37.78,2166,4432.16,Delivered,INR
SHP002115,ORD102115,CUST9448,2026-07-03,Bengaluru_WH03,Hyderabad,Pune,Ecom Express,Mini Truck,44.0,137,854.6,Delivered,INR
SHP002116,ORD102116,CUST9618,2026-07-03,Bengaluru_WH03,Hyderabad,Delhi,DHL,Truck,17.48,2460,4717.76,Delayed,INR
SHP002117,ORD102117,CUST3291,2026-07-03,Hyderabad_WH04,Bengaluru,Chennai,DHL,Van,44.51,1438,3202.52,Delivered,INR
SHP002118,ORD102118,CUST6413,2026-07-03,Hyderabad_WH04,Lucknow,Hyderabad,Ecom Express,Truck,4.54,753,1489.88,Delivered,INR
SHP002119,ORD102119,CUST8171,2026-07-03,Mumbai_WH02,Lucknow,Kolkata,Ecom Express,Truck,22.68,1000,2152.16,Delivered,INR
SHP002120,ORD102120,CUST4710,2026-07-03,Mumbai_WH02,Jaipur,Pune,Delhivery,Mini Truck,47.53,2144,4509.56,Cancelled,INR
SHP002121,ORD102121,CUST1600,2026-07-03,Mumbai_WH02,Mumbai,Hyderabad,Ecom Express,Van,32.85,483,1343.6,Delivered,INR
SHP002122,ORD102122,CUST4100,2026-07-03,Bengaluru_WH03,Pune,Chennai,Delhivery,Truck,8.9,1501,2888.6,Delivered,INR
SHP002123,ORD102123,CUST8423,2026-07-03,Hyderabad_WH04,Pune,Hyderabad,Delhivery,Truck,23.82,2425,4730.84,Delivered,INR
SHP002124,ORD102124,CUST7294,2026-07-03,Delhi_WH01,Kolkata,Lucknow,FedEx,Mini Truck,33.61,698,1739.72,Delivered,INR
SHP002125,ORD102125,CUST7844,2026-07-03,Delhi_WH01,Lucknow,Pune,Ecom Express,Truck,3.44,1941,3615.08,Returned,INR
SHP002126,ORD102126,CUST7207,2026-07-03,Mumbai_WH02,Jaipur,Delhi,Ecom Express,Bike,9.5,1139,2244.2,Delivered,INR
SHP002127,ORD102127,CUST2346,2026-07-03,Chennai_WH05,Bengaluru,Delhi,DHL,Truck,35.62,337,1114.04,In Transit,INR
SHP002128,ORD102128,CUST4284,2026-07-03,Mumbai_WH02,Delhi,Bengaluru,Ecom Express,Mini Truck,47.65,1894,4061.0,Delivered,INR
SHP002129,ORD102129,CUST1489,2026-07-03,Mumbai_WH02,Ahmedabad,Lucknow,Delhivery,Van,18.39,717,1591.28,Delivered,INR
SHP002130,ORD102130,CUST2961,2026-07-03,Hyderabad_WH04,Pune,Bengaluru,Ecom Express,Truck,30.73,1560,3256.76,Delivered,INR
SHP002131,ORD102131,CUST2409,2026-07-03,Mumbai_WH02,Hyderabad,Pune,Delhivery,Truck,23.42,839,1871.24,In Transit,INR
SHP002132,ORD102132,CUST4023,2026-07-03,Delhi_WH01,Pune,Mumbai,FedEx,Truck,3.73,1787,3341.36,Delivered,INR
SHP002133,ORD102133,CUST9434,2026-07-03,Chennai_WH05,Chennai,Jaipur,Delhivery,Van,35.17,232,919.64,Delivered,INR
SHP002134,ORD102134,CUST6170,2026-07-03,Delhi_WH01,Lucknow,Delhi,DHL,Truck,2.06,2437,4491.32,Delivered,INR
SHP002135,ORD102135,CUST5206,2026-07-03,Delhi_WH01,Kolkata,Chennai,Blue Dart,Mini Truck,26.64,2268,4482.08,In Transit,INR
SHP002136,ORD102136,CUST8433,2026-07-03,Bengaluru_WH03,Kolkata,Jaipur,Blue Dart,Van,27.97,608,1510.04,In Transit,INR
SHP002137,ORD102137,CUST2791,2026-07-03,Delhi_WH01,Jaipur,Delhi,Blue Dart,Van,28.07,1727,3525.44,In Transit,INR
SHP002138,ORD102138,CUST6858,2026-07-03,Bengaluru_WH03,Hyderabad,Delhi,Ecom Express,Truck,34.36,1485,3165.32,In Transit,INR
SHP002139,ORD102139,CUST9027,2026-07-03,Bengaluru_WH03,Hyderabad,Pune,FedEx,Mini Truck,42.39,2422,4948.28,Delivered,INR
SHP002140,ORD102140,CUST7850,2026-07-03,Hyderabad_WH04,Mumbai,Lucknow,Blue Dart,Bike,42.94,1480,3259.28,Delivered,INR
SHP002141,ORD102141,CUST7209,2026-07-03,Mumbai_WH02,Mumbai,Pune,Delhivery,Bike,34.56,558,1499.12,Delivered,INR
SHP002142,ORD102142,CUST9404,2026-07-03,Delhi_WH01,Pune,Jaipur,FedEx,Truck,28.42,1541,3194.84,Delivered,INR
SHP002143,ORD102143,CUST9486,2026-07-03,Hyderabad_WH04,Delhi,Hyderabad,Delhivery,Truck,26.11,90,555.32,Delivered,INR
SHP002144,ORD102144,CUST8793,2026-07-03,Hyderabad_WH04,Ahmedabad,Chennai,FedEx,Mini Truck,41.88,1654,3559.76,Delivered,INR
SHP002145,ORD102145,CUST5136,2026-07-03,Delhi_WH01,Delhi,Hyderabad,Delhivery,Bike,24.03,2465,4805.36,Delivered,INR
SHP002146,ORD102146,CUST5791,2026-07-03,Bengaluru_WH03,Hyderabad,Kolkata,Ecom Express,Bike,43.39,2214,4585.88,Delivered,INR
SHP002147,ORD102147,CUST9570,2026-07-03,Mumbai_WH02,Jaipur,Chennai,Ecom Express,Bike,49.3,577,1710.2,In Transit,INR
SHP002148,ORD102148,CUST2634,2026-07-03,Chennai_WH05,Lucknow,Jaipur,Delhivery,Van,10.64,208,582.08,Delivered,INR
SHP002149,ORD102149,CUST2307,2026-07-03,Hyderabad_WH04,Mumbai,Jaipur,Blue Dart,Van,8.54,1688,3220.88,In Transit,INR
SHP002150,ORD102150,CUST3820,2026-07-03,Bengaluru_WH03,Lucknow,Chennai,DHL,Van,8.0,883,1765.4,Delivered,INR
SHP002151,ORD102151,CUST2375,2026-07-03,Hyderabad_WH04,Delhi,Hyderabad,Ecom Express,Bike,33.51,1235,2705.12,Cancelled,INR
SHP002152,ORD102152,CUST5398,2026-07-03,Bengaluru_WH03,Mumbai,Ahmedabad,Delhivery,Truck,46.03,2151,4504.16,Delivered,INR
SHP002153,ORD102153,CUST6891,2026-07-03,Delhi_WH01,Hyderabad,Ahmedabad,Ecom Express,Van,8.07,2204,4144.04,Delayed,INR
SHP002154,ORD102154,CUST2868,2026-07-03,Delhi_WH01,Chennai,Bengaluru,DHL,Van,29.63,1824,3718.76,Delayed,INR
SHP002155,ORD102155,CUST5821,2026-07-03,Chennai_WH05,Mumbai,Pune,Blue Dart,Bike,31.09,799,1891.28,In Transit,INR
SHP002156,ORD102156,CUST7458,2026-07-03,Hyderabad_WH04,Delhi,Ahmedabad,FedEx,Truck,34.55,549,1482.8,Delivered,INR
SHP002157,ORD102157,CUST1424,2026-07-03,Chennai_WH05,Mumbai,Kolkata,Delhivery,Bike,49.93,2081,4424.96,Delivered,INR
SHP002158,ORD102158,CUST6397,2026-07-03,Hyderabad_WH04,Hyderabad,Chennai,FedEx,Bike,15.94,592,1336.88,Delivered,INR
SHP002159,ORD102159,CUST2091,2026-07-03,Hyderabad_WH04,Delhi,Mumbai,Ecom Express,Van,23.74,518,1297.28,Delivered,INR
SHP002160,ORD102160,CUST5359,2026-07-03,Chennai_WH05,Pune,Delhi,Ecom Express,Bike,23.97,1951,3879.44,Delayed,INR
SHP002161,ORD102161,CUST8599,2026-07-03,Delhi_WH01,Bengaluru,Ahmedabad,Blue Dart,Truck,32.06,459,1290.92,In Transit,INR
SHP002162,ORD102162,CUST2345,2026-07-03,Delhi_WH01,Hyderabad,Ahmedabad,Ecom Express,Bike,17.41,1182,2416.52,In Transit,INR
SHP002163,ORD102163,CUST5409,2026-07-03,Bengaluru_WH03,Lucknow,Chennai,Ecom Express,Truck,42.43,2228,4599.56,Delivered,INR
SHP002164,ORD102164,CUST6290,2026-07-03,Delhi_WH01,Ahmedabad,Delhi,Delhivery,Truck,14.63,1879,3637.76,Delivered,INR
SHP002165,ORD102165,CUST4671,2026-07-03,Chennai_WH05,Pune,Jaipur,Blue Dart,Bike,28.64,2373,4695.08,Delivered,INR
SHP002166,ORD102166,CUST6195,2026-07-03,Bengaluru_WH03,Chennai,Pune,Delhivery,Truck,18.55,1500,3002.6,Delivered,INR
SHP002167,ORD102167,CUST5331,2026-07-03,Mumbai_WH02,Chennai,Delhi,Blue Dart,Mini Truck,13.25,438,1027.4,Delivered,INR
SHP002168,ORD102168,CUST5520,2026-07-03,Delhi_WH01,Pune,Jaipur,Blue Dart,Mini Truck,24.05,973,2120.0,Delivered,INR
SHP002169,ORD102169,CUST6926,2026-07-03,Mumbai_WH02,Lucknow,Kolkata,Delhivery,Bike,27.33,467,1248.56,Delivered,INR
SHP002170,ORD102170,CUST3787,2026-07-03,Delhi_WH01,Kolkata,Jaipur,FedEx,Mini Truck,34.45,497,1388.0,Delivered,INR
SHP002171,ORD102171,CUST2658,2026-07-03,Bengaluru_WH03,Mumbai,Jaipur,DHL,Truck,41.15,1937,4060.4,Delivered,INR
SHP002172,ORD102172,CUST4609,2026-07-03,Bengaluru_WH03,Bengaluru,Jaipur,Blue Dart,Van,34.68,559,1502.36,Delivered,INR
SHP002173,ORD102173,CUST7157,2026-07-03,Bengaluru_WH03,Lucknow,Kolkata,DHL,Bike,36.13,1522,3253.16,In Transit,INR
SHP002174,ORD102174,CUST8353,2026-07-03,Hyderabad_WH04,Lucknow,Jaipur,FedEx,Bike,39.77,1001,2359.04,Delivered,INR
SHP002175,ORD102175,CUST7246,2026-07-03,Bengaluru_WH03,Lucknow,Hyderabad,Ecom Express,Truck,24.27,1031,2227.04,Delivered,INR
SHP002176,ORD102176,CUST9539,2026-07-03,Hyderabad_WH04,Hyderabad,Kolkata,DHL,Bike,3.47,1363,2575.04,Delivered,INR
SHP002177,ORD102177,CUST9169,2026-07-03,Delhi_WH01,Lucknow,Kolkata,DHL,Van,32.91,346,1097.72,Delivered,INR
SHP002178,ORD102178,CUST6695,2026-07-03,Delhi_WH01,Lucknow,Mumbai,Blue Dart,Truck,41.17,57,676.64,In Transit,INR
SHP002179,ORD102179,CUST1991,2026-07-03,Delhi_WH01,Kolkata,Pune,DHL,Mini Truck,30.65,1869,3812.0,Delivered,INR
SHP002180,ORD102180,CUST1987,2026-07-03,Chennai_WH05,Bengaluru,Kolkata,DHL,Bike,23.79,1468,3007.88,Delayed,INR
