shipment_id,order_id,customer_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status,exception_flag
SHP003083,ORD103083,CUST2772,2026-07-04,Mumbai_WH02,Jaipur,Delhi,FedEx,Mini Truck,48.76,183,994.52,Delivered,False
SHP003084,ORD103084,CUST2324,2026-07-04,Delhi_WH01,Lucknow,Jaipur,DHL,Mini Truck,43.31,1699,3657.92,Delivered,False
SHP003085,ORD103085,CUST5426,2026-07-04,Bengaluru_WH03,Hyderabad,Lucknow,Ecom Express,Bike,33.82,1742,3621.44,Delayed,True
SHP003086,ORD103086,CUST9341,2026-07-04,Mumbai_WH02,Chennai,Ahmedabad,Delhivery,Van,6.03,416,901.16,Delivered,False
SHP003087,ORD103087,CUST9510,2026-07-04,Delhi_WH01,Ahmedabad,Chennai,Ecom Express,Bike,24.03,111,568.16,Delivered,False
SHP003088,ORD103088,CUST9324,2026-07-04,Hyderabad_WH04,Ahmedabad,Jaipur,Ecom Express,Van,49.71,1365,3133.52,Cancelled,True
SHP003089,ORD103089,CUST9675,2026-07-04,Mumbai_WH02,Kolkata,Lucknow,Delhivery,Van,38.34,2208,4514.48,Delivered,False
SHP003090,ORD103090,CUST8188,2026-07-04,Chennai_WH05,Chennai,Hyderabad,Ecom Express,Truck,43.53,2417,4952.96,Delivered,False
SHP003091,ORD103091,CUST5387,2026-07-04,Bengaluru_WH03,Jaipur,Ahmedabad,Ecom Express,Mini Truck,34.62,2285,4608.44,Delivered,False
SHP003092,ORD103092,CUST5119,2026-07-04,Mumbai_WH02,Jaipur,Bengaluru,Delhivery,Bike,38.28,2300,4679.36,In Transit,True
SHP003093,ORD103093,CUST6035,2026-07-04,Mumbai_WH02,Kolkata,Ahmedabad,Blue Dart,Bike,37.23,307,1079.36,Delivered,False
SHP003094,ORD103094,CUST1292,2026-07-04,Delhi_WH01,Hyderabad,Ahmedabad,DHL,Mini Truck,14.24,594,1320.08,In Transit,True
SHP003095,ORD103095,CUST8902,2026-07-04,Mumbai_WH02,Delhi,Hyderabad,DHL,Bike,30.85,1427,3018.8,Delivered,False
SHP003096,ORD103096,CUST3073,2026-07-04,Chennai_WH05,Kolkata,Jaipur,FedEx,Van,41.08,280,1076.96,Delayed,True
SHP003097,ORD103097,CUST9797,2026-07-04,Delhi_WH01,Pune,Mumbai,Ecom Express,Mini Truck,38.59,1802,3786.68,Delivered,False
SHP003098,ORD103098,CUST5460,2026-07-04,Chennai_WH05,Lucknow,Delhi,Ecom Express,Truck,15.75,916,1917.8,Delivered,False
SHP003099,ORD103099,CUST3249,2026-07-04,Hyderabad_WH04,Kolkata,Bengaluru,Ecom Express,Truck,2.28,1306,2458.16,Delivered,False
SHP003100,ORD103100,CUST4878,2026-07-04,Bengaluru_WH03,Delhi,Mumbai,Blue Dart,Truck,43.23,1118,2611.16,Delivered,False
SHP003101,ORD103101,CUST1842,2026-07-04,Hyderabad_WH04,Lucknow,Ahmedabad,Delhivery,Bike,28.42,100,601.04,Delivered,False
SHP003102,ORD103102,CUST6947,2026-07-04,Delhi_WH01,Chennai,Bengaluru,DHL,Van,5.87,1816,3419.24,Delivered,False
SHP003103,ORD103103,CUST2960,2026-07-04,Chennai_WH05,Pune,Hyderabad,DHL,Mini Truck,19.63,1889,3715.76,Delivered,False
SHP003104,ORD103104,CUST7920,2026-07-04,Bengaluru_WH03,Chennai,Bengaluru,DHL,Van,19.39,775,1707.68,Delivered,False
SHP003105,ORD103105,CUST2278,2026-07-04,Delhi_WH01,Bengaluru,Mumbai,DHL,Van,36.26,1637,3461.72,Delivered,False
SHP003106,ORD103106,CUST4997,2026-07-04,Delhi_WH01,Hyderabad,Jaipur,FedEx,Truck,23.06,1486,3031.52,Delivered,False
SHP003107,ORD103107,CUST1356,2026-07-04,Delhi_WH01,Hyderabad,Mumbai,Blue Dart,Mini Truck,15.34,976,2020.88,In Transit,True
SHP003108,ORD103108,CUST4040,2026-07-04,Mumbai_WH02,Hyderabad,Delhi,Delhivery,Truck,41.73,2304,4727.96,Delivered,False
SHP003109,ORD103109,CUST6778,2026-07-04,Mumbai_WH02,Hyderabad,Chennai,Ecom Express,Van,49.22,812,2132.24,Returned,True
SHP003110,ORD103110,CUST5650,2026-07-04,Delhi_WH01,Lucknow,Bengaluru,Blue Dart,Truck,14.76,761,1626.92,Returned,True
SHP003111,ORD103111,CUST7350,2026-07-04,Chennai_WH05,Bengaluru,Chennai,Ecom Express,Mini Truck,25.46,2388,4683.92,Delivered,False
SHP003112,ORD103112,CUST2832,2026-07-04,Bengaluru_WH03,Pune,Hyderabad,Ecom Express,Truck,42.39,767,1969.28,Delivered,False
SHP003113,ORD103113,CUST2121,2026-07-04,Mumbai_WH02,Delhi,Bengaluru,Ecom Express,Bike,12.08,298,761.36,Delivered,False
SHP003114,ORD103114,CUST6812,2026-07-04,Bengaluru_WH03,Pune,Ahmedabad,Ecom Express,Mini Truck,29.96,1260,2707.52,Delivered,False
SHP003115,ORD103115,CUST6177,2026-07-04,Bengaluru_WH03,Delhi,Kolkata,FedEx,Truck,30.32,1366,2902.64,Delivered,False
SHP003116,ORD103116,CUST4805,2026-07-04,Mumbai_WH02,Pune,Kolkata,DHL,Truck,15.78,2273,4360.76,Delivered,False
SHP003117,ORD103117,CUST6074,2026-07-04,Delhi_WH01,Pune,Ahmedabad,Delhivery,Bike,25.18,776,1778.96,Delivered,False
SHP003118,ORD103118,CUST8755,2026-07-04,Mumbai_WH02,Delhi,Kolkata,Blue Dart,Bike,7.94,773,1566.68,Delivered,False
SHP003119,ORD103119,CUST7974,2026-07-04,Delhi_WH01,Hyderabad,Mumbai,DHL,Truck,27.11,832,1902.92,Delivered,False
SHP003120,ORD103120,CUST9367,2026-07-04,Delhi_WH01,Mumbai,Chennai,DHL,Van,14.36,1409,2788.52,Delivered,False
SHP003121,ORD103121,CUST6608,2026-07-04,Delhi_WH01,Jaipur,Bengaluru,Ecom Express,Truck,37.36,1919,3982.52,Delivered,False
SHP003122,ORD103122,CUST9997,2026-07-04,Chennai_WH05,Hyderabad,Mumbai,FedEx,Bike,30.59,1219,2641.28,Delivered,False
SHP003123,ORD103123,CUST6114,2026-07-04,Bengaluru_WH03,Hyderabad,Lucknow,DHL,Truck,21.59,1274,2632.28,Delivered,False
SHP003124,ORD103124,CUST3556,2026-07-04,Hyderabad_WH04,Bengaluru,Hyderabad,Blue Dart,Van,40.84,1870,3936.08,Delayed,True
SHP003125,ORD103125,CUST8382,2026-07-04,Mumbai_WH02,Jaipur,Kolkata,Delhivery,Bike,37.4,2145,4389.8,Delivered,False
SHP003126,ORD103126,CUST3770,2026-07-04,Mumbai_WH02,Delhi,Lucknow,Ecom Express,Bike,4.17,2185,4063.04,Delivered,False
SHP003127,ORD103127,CUST2316,2026-07-04,Mumbai_WH02,Kolkata,Pune,Ecom Express,Truck,7.05,247,609.2,Delivered,False
SHP003128,ORD103128,CUST5274,2026-07-04,Hyderabad_WH04,Lucknow,Bengaluru,DHL,Van,38.55,2339,4752.8,Delayed,True
SHP003129,ORD103129,CUST2820,2026-07-04,Hyderabad_WH04,Delhi,Hyderabad,DHL,Van,45.71,1208,2802.92,Delivered,False
SHP003130,ORD103130,CUST5478,2026-07-04,Hyderabad_WH04,Chennai,Bengaluru,DHL,Truck,30.44,821,1923.08,Delayed,True
SHP003131,ORD103131,CUST8283,2026-07-04,Chennai_WH05,Mumbai,Delhi,DHL,Bike,31.92,842,1978.64,Delayed,True
SHP003132,ORD103132,CUST6868,2026-07-04,Bengaluru_WH03,Pune,Hyderabad,FedEx,Mini Truck,29.56,140,686.72,Delivered,False
SHP003133,ORD103133,CUST4220,2026-07-04,Bengaluru_WH03,Lucknow,Mumbai,Delhivery,Mini Truck,48.24,2056,4359.68,Delivered,False
SHP003134,ORD103134,CUST7456,2026-07-04,Hyderabad_WH04,Delhi,Mumbai,DHL,Mini Truck,21.57,1581,3184.64,Delivered,False
SHP003135,ORD103135,CUST5330,2026-07-04,Mumbai_WH02,Mumbai,Pune,Ecom Express,Truck,15.68,2026,3914.96,Delivered,False
SHP003136,ORD103136,CUST9488,2026-07-04,Mumbai_WH02,Lucknow,Mumbai,Ecom Express,Truck,40.29,281,1069.28,Delayed,True
SHP003137,ORD103137,CUST2222,2026-07-04,Hyderabad_WH04,Bengaluru,Mumbai,Delhivery,Truck,30.49,1563,3259.28,Delivered,False
SHP003138,ORD103138,CUST7073,2026-07-04,Hyderabad_WH04,Mumbai,Hyderabad,Blue Dart,Van,36.4,789,1937.0,Delivered,False
SHP003139,ORD103139,CUST6654,2026-07-04,Hyderabad_WH04,Bengaluru,Ahmedabad,Ecom Express,Mini Truck,24.42,2319,4547.24,Delivered,False
SHP003140,ORD103140,CUST1573,2026-07-04,Bengaluru_WH03,Kolkata,Delhi,Delhivery,Truck,49.1,1607,3561.8,In Transit,True
SHP003141,ORD103141,CUST2617,2026-07-04,Bengaluru_WH03,Kolkata,Bengaluru,FedEx,Mini Truck,22.76,588,1411.52,Delivered,False
SHP003142,ORD103142,CUST4555,2026-07-04,Hyderabad_WH04,Chennai,Jaipur,FedEx,Bike,14.48,2467,4694.36,Cancelled,True
SHP003143,ORD103143,CUST6133,2026-07-04,Bengaluru_WH03,Delhi,Bengaluru,Delhivery,Truck,17.21,832,1784.12,Delivered,False
SHP003144,ORD103144,CUST9369,2026-07-04,Chennai_WH05,Hyderabad,Delhi,Blue Dart,Bike,11.22,2229,4226.84,Delivered,False
SHP003145,ORD103145,CUST3302,2026-07-04,Bengaluru_WH03,Ahmedabad,Jaipur,FedEx,Mini Truck,4.13,509,1045.76,Delivered,False
SHP003146,ORD103146,CUST5913,2026-07-04,Hyderabad_WH04,Chennai,Bengaluru,Ecom Express,Bike,1.08,1385,2585.96,Delivered,False
SHP003147,ORD103147,CUST4915,2026-07-04,Delhi_WH01,Bengaluru,Pune,Ecom Express,Bike,30.68,1508,3162.56,Delivered,False
SHP003148,ORD103148,CUST8588,2026-07-04,Delhi_WH01,Bengaluru,Mumbai,Ecom Express,Van,30.48,1749,3593.96,Delivered,False
SHP003149,ORD103149,CUST1426,2026-07-04,Hyderabad_WH04,Bengaluru,Chennai,Blue Dart,Mini Truck,20.08,1415,2867.96,Delivered,False
SHP003150,ORD103150,CUST9645,2026-07-04,Chennai_WH05,Kolkata,Mumbai,Blue Dart,Mini Truck,39.62,2351,4787.24,Delivered,False
SHP003151,ORD103151,CUST2698,2026-07-04,Mumbai_WH02,Mumbai,Delhi,DHL,Truck,2.33,1450,2717.96,In Transit,True
SHP003152,ORD103152,CUST3010,2026-07-04,Bengaluru_WH03,Pune,Delhi,DHL,Van,17.91,1532,3052.52,Delivered,False
SHP003153,ORD103153,CUST3023,2026-07-04,Bengaluru_WH03,Jaipur,Lucknow,Ecom Express,Van,19.15,801,1751.6,In Transit,True
SHP003154,ORD103154,CUST6010,2026-07-04,Hyderabad_WH04,Hyderabad,Kolkata,Blue Dart,Van,24.81,1174,2490.92,Delivered,False
SHP003155,ORD103155,CUST4575,2026-07-04,Chennai_WH05,Mumbai,Jaipur,Delhivery,Bike,2.67,949,1820.24,Delivered,False
SHP003156,ORD103156,CUST3660,2026-07-04,Bengaluru_WH03,Jaipur,Pune,FedEx,Van,11.1,1312,2574.8,Delivered,False
SHP003157,ORD103157,CUST3095,2026-07-04,Delhi_WH01,Chennai,Pune,Delhivery,Bike,24.88,2248,4424.96,Delivered,False
SHP003158,ORD103158,CUST7180,2026-07-04,Chennai_WH05,Mumbai,Lucknow,Blue Dart,Mini Truck,26.38,1225,2601.56,In Transit,True
SHP003159,ORD103159,CUST2564,2026-07-04,Delhi_WH01,Bengaluru,Delhi,FedEx,Truck,20.22,2367,4583.24,Delivered,False
SHP003160,ORD103160,CUST3435,2026-07-04,Hyderabad_WH04,Ahmedabad,Hyderabad,DHL,Van,20.16,1050,2211.92,Delivered,False
SHP003161,ORD103161,CUST5362,2026-07-04,Chennai_WH05,Delhi,Kolkata,FedEx,Mini Truck,30.7,1637,3395.0,Delivered,False
SHP003162,ORD103162,CUST3940,2026-07-04,Delhi_WH01,Hyderabad,Jaipur,FedEx,Bike,49.47,841,2187.44,Returned,True
SHP003163,ORD103163,CUST9046,2026-07-04,Hyderabad_WH04,Ahmedabad,Pune,Ecom Express,Van,30.84,1120,2466.08,Delivered,False
SHP003164,ORD103164,CUST3423,2026-07-04,Mumbai_WH02,Ahmedabad,Chennai,Blue Dart,Bike,17.27,404,1014.44,In Transit,True
SHP003165,ORD103165,CUST6359,2026-07-04,Hyderabad_WH04,Delhi,Bengaluru,Ecom Express,Van,19.85,1184,2449.4,Delivered,False
SHP003166,ORD103166,CUST9383,2026-07-04,Hyderabad_WH04,Bengaluru,Mumbai,FedEx,Bike,29.8,1957,3960.2,Delivered,False
SHP003167,ORD103167,CUST5078,2026-07-04,Bengaluru_WH03,Pune,Bengaluru,DHL,Bike,13.48,1244,2480.96,Delivered,False
SHP003168,ORD103168,CUST6200,2026-07-04,Mumbai_WH02,Pune,Mumbai,Blue Dart,Mini Truck,6.49,425,922.88,Delivered,False
SHP003169,ORD103169,CUST5419,2026-07-04,Delhi_WH01,Ahmedabad,Jaipur,Blue Dart,Mini Truck,15.24,1341,2676.68,Delivered,False
SHP003170,ORD103170,CUST7729,2026-07-04,Bengaluru_WH03,Delhi,Mumbai,Delhivery,Truck,13.48,1607,3134.36,Delivered,False
SHP003171,ORD103171,CUST1637,2026-07-04,Mumbai_WH02,Ahmedabad,Lucknow,FedEx,Van,35.81,245,950.72,Delivered,False
SHP003172,ORD103172,CUST6144,2026-07-04,Delhi_WH01,Delhi,Bengaluru,Delhivery,Mini Truck,2.73,2259,4178.96,Delivered,False
SHP003173,ORD103173,CUST8856,2026-07-04,Hyderabad_WH04,Kolkata,Chennai,FedEx,Mini Truck,28.59,209,799.28,In Transit,True
SHP003174,ORD103174,CUST8378,2026-07-04,Delhi_WH01,Jaipur,Mumbai,DHL,Truck,36.86,208,896.72,Delivered,False
SHP003175,ORD103175,CUST9631,2026-07-04,Bengaluru_WH03,Bengaluru,Jaipur,Blue Dart,Mini Truck,45.26,1401,3144.92,Delivered,False
SHP003176,ORD103176,CUST8533,2026-07-04,Delhi_WH01,Ahmedabad,Hyderabad,Ecom Express,Truck,3.64,2460,4551.68,Delivered,False
SHP003177,ORD103177,CUST6532,2026-07-04,Mumbai_WH02,Mumbai,Jaipur,Blue Dart,Bike,15.16,80,405.92,In Transit,True
SHP003178,ORD103178,CUST5838,2026-07-04,Mumbai_WH02,Jaipur,Kolkata,Delhivery,Mini Truck,48.5,1050,2552.0,Delivered,False
SHP003179,ORD103179,CUST8308,2026-07-04,Bengaluru_WH03,Kolkata,Bengaluru,Blue Dart,Truck,27.17,1251,2657.84,Delivered,False
SHP003180,ORD103180,CUST6993,2026-07-04,Delhi_WH01,Pune,Chennai,DHL,Truck,17.38,1880,3672.56,Delivered,False
SHP003181,ORD103181,CUST1094,2026-07-04,Hyderabad_WH04,Ahmedabad,Bengaluru,Ecom Express,Van,4.33,2006,3742.76,Cancelled,True
SHP003182,ORD103182,CUST6459,2026-07-04,Delhi_WH01,Mumbai,Kolkata,Delhivery,Truck,26.48,745,1738.76,Delivered,False
