shipment_id,order_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status
SHP004021,ORD104021,2026-07-05,Chennai_WH05,Bengaluru,Kolkata,Ecom Express,Van,41.97,1455,3202.64,Delivered
SHP004022,ORD104022,2026-07-05,Delhi_WH01,Delhi,Kolkata,Delhivery,Mini Truck,8.59,1440,2775.08,Delivered
SHP004023,ORD104023,2026-07-05,Hyderabad_WH04,Delhi,Ahmedabad,FedEx,Van,37.48,528,1480.16,Cancelled
SHP004024,ORD104024,2026-07-05,Bengaluru_WH03,Lucknow,Chennai,Delhivery,Truck,37.35,2466,4967.0,In Transit
SHP004025,ORD104025,2026-07-05,Mumbai_WH02,Chennai,Hyderabad,Ecom Express,Mini Truck,9.56,1854,3531.92,In Transit
SHP004026,ORD104026,2026-07-05,Delhi_WH01,Lucknow,Mumbai,DHL,Bike,9.45,1494,2882.6,Returned
SHP004027,ORD104027,2026-07-05,Bengaluru_WH03,Delhi,Bengaluru,FedEx,Truck,35.26,690,1745.12,Delayed
SHP004028,ORD104028,2026-07-05,Bengaluru_WH03,Delhi,Ahmedabad,DHL,Truck,0.57,1602,2970.44,Cancelled
SHP004029,ORD104029,2026-07-05,Delhi_WH01,Pune,Kolkata,Delhivery,Mini Truck,30.73,1989,4028.96,Delivered
SHP004030,ORD104030,2026-07-05,Chennai_WH05,Delhi,Jaipur,DHL,Van,38.4,114,746.0,Delivered
SHP004031,ORD104031,2026-07-05,Mumbai_WH02,Pune,Lucknow,DHL,Van,32.79,2377,4752.08,Delivered
SHP004032,ORD104032,2026-07-05,Mumbai_WH02,Bengaluru,Ahmedabad,FedEx,Truck,18.89,702,1570.28,Delivered
SHP004033,ORD104033,2026-07-05,Mumbai_WH02,Hyderabad,Ahmedabad,Ecom Express,Truck,17.6,1390,2793.2,In Transit
SHP004034,ORD104034,2026-07-05,Chennai_WH05,Pune,Lucknow,Blue Dart,Mini Truck,34.69,1985,4069.28,Delivered
SHP004035,ORD104035,2026-07-05,Delhi_WH01,Mumbai,Delhi,DHL,Mini Truck,7.21,700,1426.52,In Transit
SHP004036,ORD104036,2026-07-05,Delhi_WH01,Pune,Mumbai,FedEx,Van,47.09,654,1822.28,In Transit
SHP004037,ORD104037,2026-07-05,Mumbai_WH02,Pune,Jaipur,Ecom Express,Bike,31.77,2486,4936.04,In Transit
SHP004038,ORD104038,2026-07-05,Bengaluru_WH03,Lucknow,Delhi,DHL,Truck,26.76,371,1068.92,Delivered
SHP004039,ORD104039,2026-07-05,Chennai_WH05,Jaipur,Hyderabad,Delhivery,Truck,14.2,2254,4307.6,Delivered
SHP004040,ORD104040,2026-07-05,Bengaluru_WH03,Lucknow,Bengaluru,Ecom Express,Bike,33.46,537,1448.12,Delivered
SHP004041,ORD104041,2026-07-05,Bengaluru_WH03,Bengaluru,Chennai,FedEx,Bike,26.42,293,924.44,Delayed
SHP004042,ORD104042,2026-07-05,Mumbai_WH02,Jaipur,Mumbai,FedEx,Mini Truck,0.8,723,1391.0,Delivered
SHP004043,ORD104043,2026-07-05,Mumbai_WH02,Delhi,Bengaluru,FedEx,Truck,1.63,1070,2025.56,Delivered
SHP004044,ORD104044,2026-07-05,Delhi_WH01,Pune,Lucknow,Ecom Express,Mini Truck,43.58,159,889.16,In Transit
SHP004045,ORD104045,2026-07-05,Mumbai_WH02,Chennai,Hyderabad,Ecom Express,Mini Truck,7.1,702,1428.8,Delivered
SHP004046,ORD104046,2026-07-05,Mumbai_WH02,Bengaluru,Mumbai,Blue Dart,Van,9.06,1229,2400.92,Returned
SHP004047,ORD104047,2026-07-05,Hyderabad_WH04,Chennai,Ahmedabad,FedEx,Van,28.63,2233,4442.96,Delivered
SHP004048,ORD104048,2026-07-05,Bengaluru_WH03,Lucknow,Mumbai,Blue Dart,Van,9.88,1208,2372.96,Delivered
SHP004049,ORD104049,2026-07-05,Mumbai_WH02,Pune,Ahmedabad,Delhivery,Bike,13.82,868,1808.24,In Transit
SHP004050,ORD104050,2026-07-05,Hyderabad_WH04,Lucknow,Hyderabad,Delhivery,Van,14.44,375,928.28,Delivered
SHP004051,ORD104051,2026-07-05,Mumbai_WH02,Bengaluru,Delhi,DHL,Bike,24.89,1291,2702.48,Delivered
SHP004052,ORD104052,2026-07-05,Hyderabad_WH04,Jaipur,Ahmedabad,Blue Dart,Bike,16.28,1857,3617.96,Delivered
SHP004053,ORD104053,2026-07-05,Bengaluru_WH03,Jaipur,Kolkata,Ecom Express,Mini Truck,5.22,570,1168.64,Delivered
SHP004054,ORD104054,2026-07-05,Hyderabad_WH04,Jaipur,Hyderabad,FedEx,Bike,41.9,697,1837.4,In Transit
SHP004055,ORD104055,2026-07-05,Delhi_WH01,Chennai,Hyderabad,DHL,Mini Truck,24.9,1418,2931.2,Delivered
SHP004056,ORD104056,2026-07-05,Mumbai_WH02,Ahmedabad,Lucknow,FedEx,Bike,34.45,483,1362.8,Delivered
SHP004057,ORD104057,2026-07-05,Bengaluru_WH03,Hyderabad,Ahmedabad,Blue Dart,Bike,36.33,604,1603.16,Delivered
SHP004058,ORD104058,2026-07-05,Bengaluru_WH03,Kolkata,Chennai,Blue Dart,Truck,10.18,2466,4640.96,Delivered
SHP004059,ORD104059,2026-07-05,Chennai_WH05,Mumbai,Chennai,Ecom Express,Mini Truck,21.2,626,1461.2,Delivered
SHP004060,ORD104060,2026-07-05,Bengaluru_WH03,Mumbai,Pune,DHL,Mini Truck,20.07,1956,3841.64,Delayed
SHP004061,ORD104061,2026-07-05,Mumbai_WH02,Kolkata,Bengaluru,Blue Dart,Mini Truck,32.33,506,1378.76,In Transit
SHP004062,ORD104062,2026-07-05,Delhi_WH01,Delhi,Chennai,Ecom Express,Van,10.92,1129,2243.24,In Transit
SHP004063,ORD104063,2026-07-05,Hyderabad_WH04,Bengaluru,Kolkata,Ecom Express,Van,26.78,815,1868.36,Delivered
SHP004064,ORD104064,2026-07-05,Bengaluru_WH03,Pune,Bengaluru,Blue Dart,Truck,43.38,2106,4391.36,Delayed
SHP004065,ORD104065,2026-07-05,Hyderabad_WH04,Mumbai,Jaipur,Blue Dart,Mini Truck,30.57,2139,4297.04,Delivered
SHP004066,ORD104066,2026-07-05,Mumbai_WH02,Hyderabad,Bengaluru,Blue Dart,Van,24.72,1773,3568.04,In Transit
SHP004067,ORD104067,2026-07-05,Bengaluru_WH03,Lucknow,Bengaluru,Delhivery,Van,44.66,929,2288.12,Delivered
SHP004068,ORD104068,2026-07-05,Hyderabad_WH04,Bengaluru,Jaipur,DHL,Mini Truck,39.63,1945,4056.56,Delivered
SHP004069,ORD104069,2026-07-05,Chennai_WH05,Kolkata,Mumbai,Blue Dart,Mini Truck,12.74,162,524.48,Delivered
SHP004070,ORD104070,2026-07-05,Hyderabad_WH04,Jaipur,Pune,FedEx,Bike,22.16,2178,4266.32,Delivered
SHP004071,ORD104071,2026-07-05,Mumbai_WH02,Ahmedabad,Mumbai,Blue Dart,Bike,14.03,582,1295.96,Returned
SHP004072,ORD104072,2026-07-05,Hyderabad_WH04,Jaipur,Bengaluru,FedEx,Mini Truck,41.12,260,1041.44,Delivered
SHP004073,ORD104073,2026-07-05,Mumbai_WH02,Lucknow,Delhi,DHL,Bike,46.2,2422,4994.0,Delivered
SHP004074,ORD104074,2026-07-05,Bengaluru_WH03,Lucknow,Kolkata,Blue Dart,Truck,18.43,1553,3096.56,Delivered
SHP004075,ORD104075,2026-07-05,Delhi_WH01,Mumbai,Jaipur,DHL,Bike,48.81,1255,2924.72,Delivered
SHP004076,ORD104076,2026-07-05,Mumbai_WH02,Lucknow,Bengaluru,Ecom Express,Mini Truck,1.98,1056,2004.56,Delivered
SHP004077,ORD104077,2026-07-05,Delhi_WH01,Lucknow,Hyderabad,Blue Dart,Van,23.34,804,1807.28,In Transit
SHP004078,ORD104078,2026-07-05,Delhi_WH01,Kolkata,Hyderabad,Blue Dart,Truck,3.02,263,589.64,Delivered
SHP004079,ORD104079,2026-07-05,Chennai_WH05,Kolkata,Bengaluru,Ecom Express,Mini Truck,27.84,2402,4737.68,Delivered
SHP004080,ORD104080,2026-07-05,Mumbai_WH02,Delhi,Mumbai,Ecom Express,Van,47.28,1552,3440.96,Delivered
SHP004081,ORD104081,2026-07-05,Mumbai_WH02,Pune,Delhi,FedEx,Mini Truck,37.9,1848,3861.2,Delivered
SHP004082,ORD104082,2026-07-05,Chennai_WH05,Lucknow,Pune,Delhivery,Van,27.67,1608,3306.44,In Transit
SHP004083,ORD104083,2026-07-05,Mumbai_WH02,Ahmedabad,Pune,Ecom Express,Mini Truck,27.66,115,618.92,Delivered
SHP004084,ORD104084,2026-07-05,Delhi_WH01,Mumbai,Delhi,FedEx,Mini Truck,12.79,2255,4292.48,Delayed
SHP004085,ORD104085,2026-07-05,Hyderabad_WH04,Lucknow,Jaipur,Delhivery,Truck,28.56,1468,3065.12,Delivered
SHP004086,ORD104086,2026-07-05,Delhi_WH01,Delhi,Chennai,Delhivery,Bike,20.68,1114,2333.36,Delayed
SHP004087,ORD104087,2026-07-05,Chennai_WH05,Bengaluru,Jaipur,DHL,Truck,6.39,1268,2439.08,In Transit
SHP004088,ORD104088,2026-07-05,Delhi_WH01,Ahmedabad,Pune,FedEx,Bike,47.18,2032,4303.76,Delivered
SHP004089,ORD104089,2026-07-05,Mumbai_WH02,Hyderabad,Jaipur,FedEx,Mini Truck,8.48,1276,2478.56,Delivered
SHP004090,ORD104090,2026-07-05,Chennai_WH05,Bengaluru,Kolkata,DHL,Bike,16.92,1942,3778.64,In Transit
SHP004091,ORD104091,2026-07-05,Bengaluru_WH03,Jaipur,Mumbai,FedEx,Bike,28.68,1008,2238.56,In Transit
SHP004092,ORD104092,2026-07-05,Bengaluru_WH03,Ahmedabad,Chennai,DHL,Van,7.38,2194,4117.76,In Transit
SHP004093,ORD104093,2026-07-05,Mumbai_WH02,Jaipur,Lucknow,FedEx,Bike,25.6,1051,2279.0,Delivered
SHP004094,ORD104094,2026-07-05,Mumbai_WH02,Hyderabad,Mumbai,Ecom Express,Bike,20.55,2436,4711.4,Delivered
SHP004095,ORD104095,2026-07-05,Mumbai_WH02,Lucknow,Hyderabad,Ecom Express,Mini Truck,31.0,153,727.4,Delivered
SHP004096,ORD104096,2026-07-05,Delhi_WH01,Hyderabad,Jaipur,DHL,Van,38.14,1670,3543.68,In Transit
SHP004097,ORD104097,2026-07-05,Mumbai_WH02,Ahmedabad,Pune,DHL,Mini Truck,18.17,65,415.04,Delivered
SHP004098,ORD104098,2026-07-05,Mumbai_WH02,Chennai,Kolkata,Blue Dart,Truck,41.86,375,1257.32,Delivered
SHP004099,ORD104099,2026-07-05,Hyderabad_WH04,Chennai,Lucknow,Delhivery,Mini Truck,35.6,1875,3882.2,Delivered
SHP004100,ORD104100,2026-07-05,Chennai_WH05,Bengaluru,Ahmedabad,DHL,Van,18.41,314,866.12,In Transit
SHP004101,ORD104101,2026-07-05,Bengaluru_WH03,Mumbai,Delhi,Delhivery,Bike,4.42,1036,1997.84,In Transit
SHP004102,ORD104102,2026-07-05,Bengaluru_WH03,Kolkata,Delhi,DHL,Bike,26.14,1719,3487.88,Delivered
SHP004103,ORD104103,2026-07-05,Chennai_WH05,Hyderabad,Ahmedabad,Blue Dart,Mini Truck,45.97,1051,2523.44,Delivered
SHP004104,ORD104104,2026-07-05,Hyderabad_WH04,Chennai,Pune,Blue Dart,Van,42.23,2254,4643.96,In Transit
SHP004105,ORD104105,2026-07-05,Mumbai_WH02,Ahmedabad,Jaipur,Ecom Express,Van,1.43,1546,2879.96,Delivered
SHP004106,ORD104106,2026-07-05,Bengaluru_WH03,Hyderabad,Ahmedabad,DHL,Bike,2.25,2200,4067.0,In Transit
SHP004107,ORD104107,2026-07-05,Chennai_WH05,Kolkata,Hyderabad,DHL,Bike,43.78,2105,4394.36,Delivered
SHP004108,ORD104108,2026-07-05,Chennai_WH05,Mumbai,Delhi,DHL,Bike,3.28,1646,3082.16,Delivered
SHP004109,ORD104109,2026-07-05,Delhi_WH01,Ahmedabad,Mumbai,DHL,Truck,8.23,1311,2538.56,In Transit
SHP004110,ORD104110,2026-07-05,Hyderabad_WH04,Mumbai,Jaipur,Delhivery,Truck,48.1,1995,4248.2,Delivered
SHP004111,ORD104111,2026-07-05,Chennai_WH05,Lucknow,Mumbai,Blue Dart,Truck,24.75,290,899.0,Delivered
SHP004112,ORD104112,2026-07-05,Bengaluru_WH03,Mumbai,Delhi,DHL,Bike,40.4,1179,2687.0,In Transit
SHP004113,ORD104113,2026-07-05,Mumbai_WH02,Chennai,Kolkata,Blue Dart,Van,8.75,1092,2150.6,In Transit
SHP004114,ORD104114,2026-07-05,Mumbai_WH02,Jaipur,Chennai,Ecom Express,Truck,2.01,1949,3612.32,Delivered
SHP004115,ORD104115,2026-07-05,Mumbai_WH02,Ahmedabad,Chennai,Delhivery,Truck,44.16,1782,3817.52,Delivered
SHP004116,ORD104116,2026-07-05,Mumbai_WH02,Ahmedabad,Chennai,Delhivery,Van,7.38,301,710.36,In Transit
SHP004117,ORD104117,2026-07-05,Mumbai_WH02,Mumbai,Pune,Blue Dart,Bike,23.38,1345,2781.56,In Transit
SHP004118,ORD104118,2026-07-05,Bengaluru_WH03,Delhi,Ahmedabad,Ecom Express,Bike,20.79,1387,2826.08,Delivered
SHP004119,ORD104119,2026-07-05,Bengaluru_WH03,Delhi,Bengaluru,Delhivery,Bike,7.28,173,478.76,Delivered
SHP004120,ORD104120,2026-07-05,Chennai_WH05,Delhi,Hyderabad,Blue Dart,Van,41.72,1716,3669.44,Cancelled
SHP004121,ORD104121,2026-07-05,Mumbai_WH02,Bengaluru,Lucknow,FedEx,Bike,20.28,732,1640.96,In Transit
SHP004122,ORD104122,2026-07-05,Mumbai_WH02,Mumbai,Chennai,DHL,Bike,37.61,1387,3027.92,In Transit
SHP004123,ORD104123,2026-07-05,Chennai_WH05,Ahmedabad,Lucknow,DHL,Truck,28.77,1980,3989.24,Delivered
SHP004124,ORD104124,2026-07-05,Mumbai_WH02,Ahmedabad,Jaipur,Delhivery,Mini Truck,39.55,1615,3461.6,Delivered
SHP004125,ORD104125,2026-07-05,Delhi_WH01,Hyderabad,Kolkata,Delhivery,Bike,20.65,1024,2171.0,Delivered
SHP004126,ORD104126,2026-07-05,Chennai_WH05,Chennai,Jaipur,DHL,Van,43.3,1580,3443.6,Delivered
SHP004127,ORD104127,2026-07-05,Chennai_WH05,Lucknow,Mumbai,Ecom Express,Truck,2.28,195,458.36,Delivered
SHP004128,ORD104128,2026-07-05,Bengaluru_WH03,Chennai,Ahmedabad,Blue Dart,Mini Truck,4.55,1611,3034.4,Delivered
SHP004129,ORD104129,2026-07-05,Chennai_WH05,Hyderabad,Delhi,Blue Dart,Truck,20.48,1443,2923.16,Delivered
SHP004130,ORD104130,2026-07-05,Hyderabad_WH04,Bengaluru,Jaipur,Ecom Express,Van,25.82,917,2040.44,Delivered
SHP004131,ORD104131,2026-07-05,Bengaluru_WH03,Kolkata,Bengaluru,Blue Dart,Mini Truck,14.86,2302,4401.92,In Transit
SHP004132,ORD104132,2026-07-05,Chennai_WH05,Jaipur,Pune,Delhivery,Bike,3.79,460,953.48,Delivered
SHP004133,ORD104133,2026-07-05,Bengaluru_WH03,Jaipur,Pune,FedEx,Van,39.75,1684,3588.2,Delivered
SHP004134,ORD104134,2026-07-05,Hyderabad_WH04,Jaipur,Chennai,Ecom Express,Van,40.14,2231,4577.48,Delivered
SHP004135,ORD104135,2026-07-05,Hyderabad_WH04,Delhi,Bengaluru,FedEx,Mini Truck,13.66,2249,4292.12,Delivered
SHP004136,ORD104136,2026-07-05,Hyderabad_WH04,Lucknow,Chennai,DHL,Mini Truck,31.0,1155,2531.0,Delivered
SHP004137,ORD104137,2026-07-05,Hyderabad_WH04,Ahmedabad,Kolkata,Ecom Express,Bike,20.5,568,1348.4,Delivered
SHP004138,ORD104138,2026-07-05,Hyderabad_WH04,Ahmedabad,Hyderabad,Blue Dart,Truck,26.59,948,2105.48,Delivered
SHP004139,ORD104139,2026-07-05,Delhi_WH01,Jaipur,Mumbai,FedEx,Van,26.36,469,1240.52,Delivered
SHP004140,ORD104140,2026-07-05,Bengaluru_WH03,Pune,Jaipur,Ecom Express,Bike,12.99,1795,3466.88,Delivered
SHP004141,ORD104141,2026-07-05,Hyderabad_WH04,Hyderabad,Pune,Ecom Express,Bike,8.54,2128,4012.88,In Transit
SHP004142,ORD104142,2026-07-05,Chennai_WH05,Lucknow,Pune,Delhivery,Mini Truck,44.01,1737,3734.72,Delivered
SHP004143,ORD104143,2026-07-05,Hyderabad_WH04,Lucknow,Kolkata,Blue Dart,Van,7.15,658,1350.2,In Transit
SHP004144,ORD104144,2026-07-05,Delhi_WH01,Ahmedabad,Chennai,Blue Dart,Van,33.08,1671,3484.76,Delivered
SHP004145,ORD104145,2026-07-05,Chennai_WH05,Chennai,Delhi,DHL,Truck,29.4,1522,3172.4,Delivered
SHP004146,ORD104146,2026-07-05,Chennai_WH05,Ahmedabad,Chennai,DHL,Mini Truck,3.0,122,335.6,Delivered
SHP004147,ORD104147,2026-07-05,Bengaluru_WH03,Hyderabad,Jaipur,Ecom Express,Mini Truck,25.44,736,1710.08,Delivered
SHP004148,ORD104148,2026-07-05,Mumbai_WH02,Jaipur,Bengaluru,FedEx,Truck,8.16,705,1446.92,Delivered
SHP004149,ORD104149,2026-07-05,Delhi_WH01,Ahmedabad,Delhi,Delhivery,Van,38.85,217,936.8,Delivered
SHP004150,ORD104150,2026-07-05,Bengaluru_WH03,Pune,Lucknow,Blue Dart,Van,45.84,2125,4455.08,In Transit
SHP004151,ORD104151,2026-07-05,Bengaluru_WH03,Kolkata,Ahmedabad,Ecom Express,Truck,40.07,2242,4596.44,Delivered
SHP004152,ORD104152,2026-07-05,Hyderabad_WH04,Chennai,Bengaluru,FedEx,Bike,44.48,1291,2937.56,Delayed
SHP004153,ORD104153,2026-07-05,Delhi_WH01,Delhi,Mumbai,Blue Dart,Mini Truck,7.21,2269,4250.72,Delivered
SHP004154,ORD104154,2026-07-05,Bengaluru_WH03,Mumbai,Jaipur,Delhivery,Van,29.24,680,1654.88,Delivered
SHP004155,ORD104155,2026-07-05,Hyderabad_WH04,Bengaluru,Jaipur,Ecom Express,Mini Truck,5.52,2124,3969.44,In Transit
SHP004156,ORD104156,2026-07-05,Mumbai_WH02,Kolkata,Mumbai,DHL,Mini Truck,48.45,2257,4724.0,Delivered
SHP004157,ORD104157,2026-07-05,Bengaluru_WH03,Pune,Ahmedabad,Ecom Express,Truck,17.75,1091,2256.8,In Transit
SHP004158,ORD104158,2026-07-05,Bengaluru_WH03,Lucknow,Jaipur,FedEx,Bike,14.58,549,1243.16,Delivered
SHP004159,ORD104159,2026-07-05,Hyderabad_WH04,Chennai,Kolkata,DHL,Truck,9.42,2267,4273.64,Returned
SHP004160,ORD104160,2026-07-05,Hyderabad_WH04,Kolkata,Delhi,FedEx,Van,12.58,272,720.56,Delivered
SHP004161,ORD104161,2026-07-05,Hyderabad_WH04,Delhi,Pune,Delhivery,Truck,30.31,780,1847.72,In Transit
SHP004162,ORD104162,2026-07-05,Delhi_WH01,Ahmedabad,Lucknow,Delhivery,Bike,8.02,389,876.44,In Transit
SHP004163,ORD104163,2026-07-05,Mumbai_WH02,Kolkata,Pune,Ecom Express,Mini Truck,25.35,2331,4580.0,Delivered
SHP004164,ORD104164,2026-07-05,Hyderabad_WH04,Jaipur,Bengaluru,DHL,Mini Truck,10.45,1521,2943.2,Delivered
SHP004165,ORD104165,2026-07-05,Delhi_WH01,Lucknow,Bengaluru,Delhivery,Bike,5.72,2427,4517.24,Delivered
SHP004166,ORD104166,2026-07-05,Delhi_WH01,Lucknow,Pune,Ecom Express,Bike,3.5,105,311.0,Delivered
SHP004167,ORD104167,2026-07-05,Bengaluru_WH03,Hyderabad,Pune,FedEx,Mini Truck,9.53,1812,3455.96,Delivered
SHP004168,ORD104168,2026-07-05,Delhi_WH01,Ahmedabad,Lucknow,Ecom Express,Bike,31.0,1165,2549.0,Delivered
SHP004169,ORD104169,2026-07-05,Bengaluru_WH03,Mumbai,Pune,Ecom Express,Van,15.85,2459,4696.4,Delivered
SHP004170,ORD104170,2026-07-05,Hyderabad_WH04,Hyderabad,Ahmedabad,DHL,Van,38.28,1156,2620.16,Delivered
SHP004171,ORD104171,2026-07-05,Mumbai_WH02,Delhi,Ahmedabad,Delhivery,Truck,3.18,1228,2328.56,Delivered
SHP004172,ORD104172,2026-07-05,Delhi_WH01,Kolkata,Jaipur,FedEx,Truck,39.77,893,2164.64,Delivered
SHP004173,ORD104173,2026-07-05,Chennai_WH05,Delhi,Mumbai,DHL,Van,22.93,729,1667.36,Cancelled
SHP004174,ORD104174,2026-07-05,Delhi_WH01,Lucknow,Mumbai,Ecom Express,Bike,32.78,877,2051.96,Delivered
SHP004175,ORD104175,2026-07-05,Bengaluru_WH03,Hyderabad,Jaipur,Blue Dart,Bike,45.7,1015,2455.4,Delivered
SHP004176,ORD104176,2026-07-05,Mumbai_WH02,Mumbai,Kolkata,DHL,Truck,40.52,1723,3667.64,In Transit
SHP004177,ORD104177,2026-07-05,Mumbai_WH02,Mumbai,Pune,Ecom Express,Mini Truck,5.62,1121,2165.24,Delivered
SHP004178,ORD104178,2026-07-05,Mumbai_WH02,Chennai,Pune,Blue Dart,Truck,5.57,1009,1963.04,Delivered
SHP004179,ORD104179,2026-07-05,Delhi_WH01,Chennai,Lucknow,FedEx,Bike,36.99,1801,3765.68,In Transit
SHP004180,ORD104180,2026-07-05,Delhi_WH01,Hyderabad,Lucknow,Ecom Express,Truck,17.78,648,1459.76,Delivered
SHP004181,ORD104181,2026-07-05,Bengaluru_WH03,Ahmedabad,Bengaluru,Ecom Express,Van,32.12,1271,2753.24,In Transit
SHP004182,ORD104182,2026-07-05,Hyderabad_WH04,Ahmedabad,Pune,FedEx,Bike,24.07,1702,3432.44,Delivered
SHP004183,ORD104183,2026-07-05,Hyderabad_WH04,Mumbai,Delhi,FedEx,Van,31.68,2152,4333.76,Delivered
SHP004184,ORD104184,2026-07-05,Delhi_WH01,Mumbai,Ahmedabad,FedEx,Bike,10.54,2312,4368.08,Delayed
SHP004185,ORD104185,2026-07-05,Mumbai_WH02,Pune,Lucknow,DHL,Truck,34.85,280,1002.2,Delivered
SHP004186,ORD104186,2026-07-05,Chennai_WH05,Jaipur,Chennai,DHL,Truck,17.5,1276,2586.8,In Transit
SHP004187,ORD104187,2026-07-05,Chennai_WH05,Lucknow,Mumbai,Blue Dart,Van,8.76,224,588.32,Delivered
SHP004188,ORD104188,2026-07-05,Mumbai_WH02,Mumbai,Pune,Delhivery,Bike,20.13,428,1091.96,Delivered
SHP004189,ORD104189,2026-07-05,Bengaluru_WH03,Delhi,Ahmedabad,Delhivery,Bike,18.03,531,1252.16,Delayed
SHP004190,ORD104190,2026-07-05,Delhi_WH01,Mumbai,Jaipur,DHL,Van,43.63,2374,4876.76,In Transit
SHP004191,ORD104191,2026-07-05,Hyderabad_WH04,Pune,Hyderabad,DHL,Van,8.77,922,1844.84,Delivered
SHP004192,ORD104192,2026-07-05,Chennai_WH05,Ahmedabad,Hyderabad,DHL,Mini Truck,10.08,2125,4025.96,Delivered
SHP004193,ORD104193,2026-07-05,Delhi_WH01,Delhi,Chennai,Delhivery,Truck,47.48,1921,4107.56,Delivered
SHP004194,ORD104194,2026-07-05,Mumbai_WH02,Kolkata,Bengaluru,DHL,Van,49.86,672,1887.92,In Transit
SHP004195,ORD104195,2026-07-05,Chennai_WH05,Hyderabad,Pune,DHL,Truck,26.87,1738,3530.84,In Transit
SHP004196,ORD104196,2026-07-05,Hyderabad_WH04,Kolkata,Delhi,Delhivery,Bike,37.62,2008,4145.84,Delayed
SHP004197,ORD104197,2026-07-05,Delhi_WH01,Chennai,Hyderabad,Delhivery,Truck,37.16,246,968.72,Delivered
SHP004198,ORD104198,2026-07-05,Mumbai_WH02,Jaipur,Chennai,FedEx,Truck,2.59,876,1687.88,Delivered
SHP004199,ORD104199,2026-07-05,Hyderabad_WH04,Mumbai,Delhi,DHL,Mini Truck,30.57,2094,4216.04,Delivered
SHP004200,ORD104200,2026-07-05,Delhi_WH01,Ahmedabad,Jaipur,Blue Dart,Van,38.0,115,743.0,Delivered
SHP004201,ORD104201,2026-07-05,Delhi_WH01,Delhi,Bengaluru,DHL,Van,34.89,469,1342.88,Delivered
SHP004202,ORD104202,2026-07-05,Mumbai_WH02,Hyderabad,Chennai,DHL,Van,41.5,1046,2460.8,Delivered
SHP004203,ORD104203,2026-07-05,Hyderabad_WH04,Ahmedabad,Kolkata,Delhivery,Truck,15.84,603,1355.48,Delayed
SHP004204,ORD104204,2026-07-05,Delhi_WH01,Mumbai,Kolkata,Delhivery,Van,47.3,136,892.4,Delivered
SHP004205,ORD104205,2026-07-05,Chennai_WH05,Kolkata,Bengaluru,Blue Dart,Van,38.11,1591,3401.12,In Transit
